"","feature_id","pathway_sortorder","biochemical","super_pathway","sub_pathway","comp_id","platform","chemical_id","ri","mass","cas","pubchem","kegg","group_hmdb"
"48719","48719",NA,"X - 23145",NA,NA,"48719","LC/MS Neg",NA,"5642","283.26420000000002",NA,NA,NA,NA
"43532","43532","4533","veratric acid","Xenobiotics","Drug - Neurological","43532","LC/MS Neg","100004473","1890","181.0506","93-07-2","7121",NA,NA
"46639","46639",NA,"X - 12851",NA,NA,"46639","LC/MS Neg",NA,"4844","311.66579999999999",NA,NA,NA,NA
"606","606","3428","uridine","Nucleotide","Pyrimidine Metabolism, Uracil containing","606","LC/MS Neg","535","1457.6","243.06229999999999","58-96-8","6029","C00299","HMDB00296"
"62279","62279","4751","indoleacetylcarnitine*","Xenobiotics","Chemical","62279","LC/MS Pos Early","100020479","3114","319.16520000000003",NA,NA,NA,NA
"2342","2342","230","serotonin","Amino Acid","Tryptophan Metabolism","2342","LC/MS Pos Early","504","2550","177.10220000000001","153-98-0","5202","C00780","HMDB00259"
"53010","53010","2488","lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)","Lipid","Ceramides","53010","LC/MS Pos Late","100009030","2527","862.625","4201-62-1",NA,NA,NA
"52435","52435","2399","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","Lipid","Sphingolipid Metabolism","52435","LC/MS Pos Late","100008956","2845","799.66869999999994",NA,NA,NA,NA
"33384","33384","4297","salicyluric glucuronide*","Xenobiotics","Drug - Analgesics, Anesthetics","33384","LC/MS Neg","100001332","1463","370.07799999999997",NA,NA,NA,NA
"52468","52468","1970","1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","Lipid","Phosphatidylinositol (PI)","52468","LC/MS Pos Late","100008994","3185","880.59100000000001",NA,NA,NA,"HMDB09809"
"47955","47955",NA,"X - 12906",NA,NA,"47955","LC/MS Neg",NA,"793","158.0462",NA,NA,NA,NA
"37496","37496","411","N-acetylputrescine","Amino Acid","Polyamine Metabolism","37496","LC/MS Pos Early","192","2230","131.11789999999999","18233-70-0","122356","C02714","HMDB02064"
"62101","62101","43","alpha-ketoglutaramate**","Amino Acid","Glutamate Metabolism","62101","LC/MS Polar","100002397","1916","144.03020000000001","18465-19-5",NA,NA,NA
"47437","47437",NA,"X - 12680",NA,NA,"47437","LC/MS Pos Early",NA,"2875","229.1293",NA,NA,NA,NA
"46297","46297","1612","5-HEPE","Lipid","Eicosanoid","46297","LC/MS Neg","100002135","5316","317.2122","83952-40-3","6439678",NA,"HMDB05081"
"45415","45415","3713","3-(3-hydroxyphenyl)propionate sulfate","Xenobiotics","Benzoate Metabolism","45415","LC/MS Neg","100005391","1294","245.01249999999999","86321-32-6","187488",NA,NA
"52234","52234","2479","glycosyl-N-stearoyl-sphingosine (d18:1/18:0)","Lipid","Ceramides","52234","LC/MS Pos Late","100001882","3053","728.60350000000005",NA,NA,NA,NA
"53174","53174","1897","1,2-dilinoleoyl-GPE (18:2/18:2)*","Lipid","Phosphatidylethanolamine (PE)","53174","LC/MS Pos Late","100009217","2083","740.52250000000004",NA,"9546812",NA,"HMDB09093"
"52307","52307","1710","glycerophosphoinositol*","Lipid","Phospholipid Metabolism","52307","LC/MS Pos Early","100001621","516","335.07380000000001","16824-65-0","167572",NA,NA
"46690","46690",NA,"X - 18901",NA,NA,"46690","LC/MS Neg",NA,"3800","211.0247",NA,NA,NA,NA
"1519","1519","1005","sucrose","Carbohydrate","Disaccharides and Oligosaccharides","1519","LC/MS Polar","935","3092","387.11439999999999","57-50-1","5988","C00089","HMDB00258"
"46970","46970",NA,"X - 17676",NA,NA,"46970","LC/MS Neg",NA,"1485","167.04679999999999",NA,NA,NA,NA
"48408","48408","185","tyramine O-sulfate","Amino Acid","Tyrosine Metabolism","48408","LC/MS Neg","100006092","1565","216.03360000000001","30223-92-8","153005",NA,"HMDB06409"
"37459","37459","3941","ergothioneine","Xenobiotics","Food Component/Plant","37459","LC/MS Pos Early","100002154","850","230.0958","58511-63-0","3032311","C05570","HMDB03045"
"40008","40008","637","isoleucylglycine","Peptide","Dipeptide","40008","LC/MS Neg","100003169","1992","187.1088","868-28-0","342532",NA,"HMDB28907"
"1516","1516","4","sarcosine","Amino Acid","Glycine, Serine and Threonine Metabolism","1516","LC/MS Pos Early","1023","1280","90.055000000000007","107-97-1","1088","C00213","HMDB00271"
"46643","46643",NA,"X - 13529",NA,NA,"46643","LC/MS Neg",NA,"2011","188.09280000000001",NA,NA,NA,NA
"48580","48580","4282","2-acetamidophenol sulfate","Xenobiotics","Drug - Analgesics, Anesthetics","48580","LC/MS Neg","100006190","2251","230.0129","40712-60-5","181671",NA,NA
"52790","52790",NA,"X - 24473",NA,NA,"52790","LC/MS Pos Early",NA,"1709","146.08109999999999",NA,NA,NA,NA
"47905","47905",NA,"X - 12026",NA,NA,"47905","LC/MS Neg",NA,"1652","180.0531",NA,NA,NA,NA
"48733","48733","187","vanillic alcohol sulfate","Amino Acid","Tyrosine Metabolism","48733","LC/MS Neg","100006125","1808","233.01249999999999","754920-02-0",NA,NA,NA
"48433","48433","186","N-formylphenylalanine","Amino Acid","Tyrosine Metabolism","48433","LC/MS Neg","100006056","2360","192.06659999999999","13200-85-6","759256",NA,NA
"36776","36776","2528","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","Lipid","Sterol","36776","LC/MS Neg","100001609","5288.1","429.30099999999999","115538-85-7","3081085","C17337","HMDB12458"
"48418","48418","3664","4-methylguaiacol sulfate","Xenobiotics","Benzoate Metabolism","48418","LC/MS Neg","100006105","2978","217.01759999999999","756760-43-7",NA,NA,NA
"52669","52669","1962","1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*","Lipid","Phosphatidylinositol (PI)","52669","LC/MS Pos Late","100009066","3140","854.57529999999997",NA,NA,NA,"HMDB09783"
"47009","47009",NA,"X - 17354",NA,NA,"47009","LC/MS Neg",NA,"3520","473.1472",NA,NA,NA,NA
"47120","47120","1536","9-hydroxystearate","Lipid","Fatty Acid, Monohydroxy","47120","LC/MS Neg","100005834","5384","299.25920000000002","25498-28-6","9570127",NA,"HMDB61661"
"43255","43255","70","N-acetyl-1-methylhistidine*","Amino Acid","Histidine Metabolism","43255","LC/MS Pos Early","100004299","2100","212.1028",NA,"193270",NA,NA
"32198","32198","1405","acetylcarnitine (C2)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)","32198","LC/MS Pos Early","100000802","2282","204.12299999999999","5080-50-2","1","C02571","HMDB00201"
"32398","32398","1311","sebacate (C10-DC)","Lipid","Fatty Acid, Dicarboxylate","32398","LC/MS Neg","100001211","1788","201.11320000000001","111-20-6","5192","C08277","HMDB00792"
"49529","49529",NA,"X - 23652",NA,NA,"49529","LC/MS Pos Early",NA,"1991","171.0761",NA,NA,NA,NA
"46261","46261",NA,"X - 19438",NA,NA,"46261","LC/MS Neg",NA,"1209","217.07210000000001",NA,NA,NA,NA
"52977","52977","2727","glycocholate glucuronide (1)","Lipid","Primary Bile Acid Metabolism","52977","LC/MS Neg","100009259","4533","640.33389999999997",NA,NA,NA,NA
"49675","49675",NA,"X - 23776",NA,NA,"49675","LC/MS Pos Early",NA,"2275","146.1174",NA,NA,NA,NA
"43266","43266","4675","2-aminophenol sulfate","Xenobiotics","Chemical","43266","LC/MS Neg","100004322","1677","188.00229999999999",NA,"181670",NA,"HMDB61116"
"46461","46461",NA,"X - 16124",NA,NA,"46461","LC/MS Neg",NA,"2563.6","203.00219999999999",NA,NA,NA,NA
"57783","57783","4248","1H-indole-7-acetic acid","Xenobiotics","Bacterial/Fungal","57783","LC/MS Neg","100004601","2862","174.05609999999999","39689-63-9",NA,NA,NA
"46409","46409",NA,"X - 21364",NA,NA,"46409","LC/MS Neg",NA,"3757","213.0865",NA,NA,NA,NA
"62277","62277","4730","hydroxy-CMPF*","Xenobiotics","Chemical","62277","LC/MS Neg","100019794","1516","255.0874",NA,NA,NA,NA
"61874","61874","4840","glucuronide of C12H22O4 (1)*","Partially Characterized Molecules","Partially Characterized Molecules","61874","LC/MS Neg","100019984","2590","405.17660000000001",NA,NA,NA,NA
"46798","46798","2325","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","Lipid","Diacylglycerol","46798","LC/MS Pos Late","100002989","3115","636.55619999999999","106292-55-1",NA,NA,"HMDB07219"
"49461","49461",NA,"X - 23585",NA,NA,"49461","LC/MS Pos Early",NA,"1378","118.08629999999999",NA,NA,NA,NA
"21158","21158","1506","3-hydroxymyristate","Lipid","Fatty Acid, Monohydroxy","21158","LC/MS Neg","100000882","5335","243.19659999999999","3422-31-9","16064",NA,NA
"46658","46658",NA,"X - 15220",NA,NA,"46658","LC/MS Neg",NA,"2662","274.11200000000002",NA,NA,NA,NA
"33935","33935","4026","piperine","Xenobiotics","Food Component/Plant","33935","LC/MS Pos Late","100001267","1168","286.1438","94-62-2","638024","C03882","HMDB29377"
"57448","57448","2494","glycosyl ceramide (d18:1/23:1, d17:1/24:1)*","Lipid","Ceramides","57448","LC/MS Pos Late","100015751","3667","796.66610000000003",NA,NA,NA,NA
"48441","48441","4772","4-hydroxychlorothalonil","Xenobiotics","Chemical","48441","LC/MS Neg","100006082","4427","244.90819999999999","28343-61-5","34217",NA,NA
"1303","1303","1117","malate","Energy","TCA Cycle","1303","LC/MS Neg","409","615.6","133.01429999999999","6915-15-7","525","C00149","HMDB00156"
"15753","15753","3632","hippurate","Xenobiotics","Benzoate Metabolism","15753","LC/MS Neg","100000014","2106.9","178.05099999999999","495-69-2","464","C01586","HMDB00714"
"62287","62287","3561","delta-CEHC*","Cofactors and Vitamins","Tocopherol Metabolism","62287","LC/MS Neg","100020416","3422","249.11320000000001","84599-16-6","11536125",NA,NA
"57417","57417","2471","N-stearoyl-sphingadienine (d18:2/18:0)*","Lipid","Ceramides","57417","LC/MS Pos Late","100015632","2846","564.53499999999997",NA,NA,NA,NA
"61822","61822","1668","N-stearoylserine*","Lipid","Endocannabinoid","61822","LC/MS Neg","100019957","5777","370.29629999999997",NA,NA,NA,NA
"46701","46701",NA,"X - 19141",NA,NA,"46701","LC/MS Neg",NA,"3705","415.197",NA,NA,NA,NA
"52432","52432","2274","2-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol","52432","LC/MS Neg","100008953","6016","253.21729999999999",NA,NA,NA,"HMDB11565"
"47639","47639",NA,"X - 12456",NA,NA,"47639","LC/MS Neg",NA,"4342","427.2165",NA,NA,NA,NA
"53013","53013","2478","glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)","Lipid","Ceramides","53013","LC/MS Pos Late","100009272","2623","700.57219999999995",NA,NA,NA,NA
"40703","40703","724","prolylglycine","Peptide","Dipeptide","40703","LC/MS Pos Early","100003674","2136","173.09209999999999","2578-57-6","6426709",NA,"HMDB11178"
"54840","54840",NA,"X - 24812",NA,NA,"54840","LC/MS Pos Early",NA,"2650","230.1386",NA,NA,NA,NA
"32417","32417","1207","docosatrienoate (22:3n3)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)","32417","LC/MS Neg","100001195","5823","333.2799","59708-86-0","5312556","C16534","HMDB02823"
"32553","32553","148","phenol sulfate","Amino Acid","Tyrosine Metabolism","32553","LC/MS Neg","100001510","2156","172.9914","937-34-8","74426","C02180","HMDB60015"
"35628","35628","2075","1-oleoyl-GPE (18:1)","Lipid","Lysophospholipid","35628","LC/MS Pos Late","100001569","1554","480.30849999999998","89576-29-4","9547071",NA,"HMDB11506"
"43424","43424","4719","dimethyl sulfone","Xenobiotics","Chemical","43424","LC/MS Pos Early","100004284","832","95.016099999999994","67-71-0","6213","C11142","HMDB04983"
"1572","1572","933","glycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","1572","LC/MS Polar","1052","2070.4","105.0193","600-19-1","752","C00258","HMDB00139"
"47650","47650",NA,"X - 11483",NA,NA,"47650","LC/MS Neg",NA,"4449","505.20819999999998",NA,NA,NA,NA
"35107","35107","264","isovalerylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","35107","LC/MS Neg","100001452","1950","158.0823","16284-60-9","546304",NA,"HMDB00678"
"46645","46645",NA,"X - 13728",NA,NA,"46645","LC/MS Neg",NA,"1589","197.06819999999999",NA,NA,NA,NA
"42489","42489","1486","2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy","42489","LC/MS Neg","100004089","4840","187.13399999999999","5393-81-7","21488",NA,NA
